Frame, Frame Full, Scene, UI
514, 0.016378, 0.001503, 9.3e-05
515, 0.016916, 0.001504, 8.9e-05
516, 0.016518, 0.001575, 0.0001
517, 0.016528, 0.001496, 9.2e-05
518, 0.016794, 0.001711, 9.7e-05
519, 0.016488, 0.00168, 9.2e-05
520, 0.01685, 0.001684, 9.9e-05
521, 0.016439, 0.001723, 9.5e-05
522, 0.016684, 0.00169, 9.6e-05
523, 0.016618, 0.001498, 9.4e-05
524, 0.01665, 0.001652, 9.6e-05
525, 0.016746, 0.001708, 9.2e-05
526, 0.01672, 0.001718, 9.3e-05
527, 0.016568, 0.001738, 9.5e-05
528, 0.016611, 0.001503, 9.4e-05
529, 0.016626, 0.001747, 9.7e-05
530, 0.016827, 0.0015, 9.4e-05
531, 0.016511, 0.001506, 9.6e-05
532, 0.016701, 0.001704, 9.6e-05
533, 0.016818, 0.001688, 9.1e-05
534, 0.016394, 0.00173, 9.1e-05
535, 0.016559, 0.001676, 9.1e-05
536, 0.016646, 0.001498, 9.2e-05
537, 0.016607, 0.001512, 9.1e-05
538, 0.016735, 0.001502, 9.2e-05
539, 0.017719, 0.001492, 9.4e-05
540, 0.015863, 0.001526, 9.8e-05
541, 0.016365, 0.001506, 9.3e-05
542, 0.016889, 0.001529, 9.1e-05
543, 0.016337, 0.001502, 9.1e-05
544, 0.016713, 0.001497, 9.1e-05
545, 0.016754, 0.001511, 8.9e-05
546, 0.016696, 0.001501, 9.4e-05
547, 0.016497, 0.0015, 8.9e-05
548, 0.01657, 0.001502, 9.3e-05
549, 0.016736, 0.001494, 9.7e-05
550, 0.016543, 0.001506, 9.3e-05
551, 0.016741, 0.001744, 9.7e-05
552, 0.016723, 0.001517, 0.000101
553, 0.016808, 0.0015, 0.000101
554, 0.016652, 0.001496, 9.2e-05
555, 0.016324, 0.001506, 9.1e-05
556, 0.016797, 0.001504, 9.2e-05
557, 0.016523, 0.00151, 9.3e-05
558, 0.01668, 0.001507, 9.3e-05
559, 0.016777, 0.001492, 9.6e-05
560, 0.016503, 0.00152, 9.6e-05
561, 0.016615, 0.001499, 9.7e-05
562, 0.016679, 0.001507, 9.4e-05
563, 0.016845, 0.001507, 9.3e-05
564, 0.016578, 0.00152, 9.5e-05
565, 0.016853, 0.001506, 9.2e-05
566, 0.016753, 0.001511, 9.5e-05
567, 0.016312, 0.001509, 8.9e-05
568, 0.016507, 0.00153, 9.3e-05
569, 0.017069, 0.001507, 9.5e-05
570, 0.016091, 0.001503, 9.4e-05
571, 0.016633, 0.00149, 9.4e-05
572, 0.016875, 0.001501, 9.4e-05
573, 0.016559, 0.001501, 9.1e-05
574, 0.016692, 0.001499, 9.4e-05
575, 0.016562, 0.001499, 8.9e-05
576, 0.016749, 0.001542, 9.6e-05
577, 0.016663, 0.001514, 9.1e-05
578, 0.016799, 0.001499, 0.000141
579, 0.016671, 0.001502, 8.7e-05
580, 0.016237, 0.001501, 9.3e-05
581, 0.016877, 0.0015, 9e-05
582, 0.016491, 0.001507, 9.4e-05
583, 0.0166, 0.001503, 9.1e-05
584, 0.016911, 0.001505, 9.4e-05
585, 0.016486, 0.001503, 9.1e-05
586, 0.016567, 0.001592, 0.000103
587, 0.016681, 0.001499, 9.3e-05
588, 0.016626, 0.001531, 0.000103
589, 0.016808, 0.001587, 9.5e-05
590, 0.016753, 0.0015, 9.4e-05
591, 0.016496, 0.001506, 9.3e-05
592, 0.016846, 0.001509, 9.3e-05
593, 0.016252, 0.001503, 9.2e-05
594, 0.016624, 0.001498, 9.4e-05
595, 0.016808, 0.001713, 8.9e-05
596, 0.016465, 0.001739, 9.8e-05
597, 0.01674, 0.001551, 9.1e-05
598, 0.01669, 0.001743, 9.9e-05
599, 0.016741, 0.001678, 9.2e-05
600, 0.016676, 0.00186, 0.000109
601, 0.016621, 0.001521, 0.000139
602, 0.016653, 0.001536, 0.0001
603, 0.016466, 0.001548, 9e-05
604, 0.0169, 0.0015, 9.3e-05
605, 0.016552, 0.001508, 9.3e-05
606, 0.016422, 0.001501, 9.3e-05
607, 0.01686, 0.001497, 9.2e-05
608, 0.016417, 0.001507, 9.3e-05
609, 0.016719, 0.001507, 9.4e-05
610, 0.01672, 0.001507, 9.7e-05
611, 0.016417, 0.001509, 9.1e-05
612, 0.016918, 0.001514, 9.5e-05
613, 0.016438, 0.001509, 9.6e-05
614, 0.016868, 0.0015, 9.7e-05
615, 0.016893, 0.001547, 9.1e-05
616, 0.017051, 0.001517, 9.6e-05
617, 0.016156, 0.001726, 0.000101
618, 0.016617, 0.0015, 9.7e-05
619, 0.016399, 0.001502, 9.9e-05
620, 0.01686, 0.001504, 0.000101
621, 0.016532, 0.001516, 9.1e-05
622, 0.016875, 0.0015, 9.8e-05
623, 0.016478, 0.001506, 8.9e-05
624, 0.016916, 0.001494, 9e-05
625, 0.016261, 0.001498, 9.1e-05
626, 0.016598, 0.001591, 9.3e-05
627, 0.016881, 0.001505, 9.5e-05
628, 0.016282, 0.001497, 9.3e-05
629, 0.01708, 0.001499, 9.2e-05
630, 0.016504, 0.001517, 0.000105
631, 0.016426, 0.0015, 9e-05
632, 0.016486, 0.001506, 9.4e-05
633, 0.016884, 0.001504, 9e-05
634, 0.017449, 0.001541, 0.000104
635, 0.016187, 0.001521, 9.8e-05
636, 0.016128, 0.001512, 9.8e-05
637, 0.017264, 0.001514, 9.6e-05
638, 0.016972, 0.001523, 0.000109
639, 0.015762, 0.001532, 9.5e-05
640, 0.018093, 0.001513, 9.6e-05
641, 0.014823, 0.001507, 9.5e-05
642, 0.017614, 0.001508, 9.5e-05
643, 0.015634, 0.001507, 8.7e-05
644, 0.016897, 0.001497, 9.1e-05
645, 0.016523, 0.00152, 9.2e-05
